46|54|61|183|183|183|"Wet"|"148904191"|"92014755"
30||46|183|183|183||"148906904"|"92017064"
0|0|0|15|23|30||"148906904"|"92017065"
15|23|30|30||46|"Wet"|"148906904"|"92017066"
61||91|183|183|183||"148911488"|"92021039"
0|0|0|46|61|76||"148911488"|"92021040"
46|61|76|61||91|"Wet"|"148911488"|"92021041"
30||46|183|183|183||"148913167"|"92022518"
0|0|0|15|23|30||"148913167"|"92022519"
15|23|30|30||46|"Wet"|"148913167"|"92022520"
0|0|0|183|183|183|"Wet"|"148910297"|"92019709"
30||61|183|183|183||"148904692"|"92015171"
0|0|0|15|31|46||"148904692"|"92015172"
15|31|46|30||61|"Wet"|"148904692"|"92015173"
46||76|183|183|183||"148908538"|"92018486"
0|0|0|30|46|61||"148908538"|"92018487"
30|46|61|46||76|"Wet"|"148908538"|"92018488"
0|0|0|183|183|183|"Wet"|"148905012"|"92015422"
0|0|0|183|183|183|"Wet"|"148911728"|"92021214"
61||91|183|183|183||"148909226"|"92018950"
0|0|0|46|61|76||"148909226"|"92018951"
46|61|76|61||91|"Wet"|"148909226"|"92018952"
0|0|0|183|183|183|"Wet"|"148902815"|"92013498"
61||91|183|183|183||"149036757"|"92048110"
0|0|0|46|61|76||"149036757"|"92048111"
46|61|76|61||91|"Wet"|"149036757"|"92048112"
46||76|183|183|183||"148905507"|"92015910"
0|0|0|30|46|61||"148905507"|"92015911"
30|46|61|46||76|"Wet"|"148905507"|"92015912"
0|0|0|183|183|183|"Wet"|"148913072"|"92022440"
61||91|183|183|183||"148906845"|"92017019"
0|0|0|46|61|76||"148906845"|"92017020"
46|61|76|61||91|"Wet"|"148906845"|"92017021"
0|0|0|183|183|183|"Wet"|"148913469"|"92022798"
0|0|0|0|31|61||"148903838"|"92014563"
0|0|0|0|23|46||"148902158"|"92013062"
0|23|46|183|183|183|"Wet"|"148902158"|"92013063"
0|0|0|183|183|183|"Wet"|"148910420"|"92019831"
30||46|183|183|183||"148903779"|"92014480"
0|0|0|15|23|30||"148903779"|"92014481"
15|23|30|30||46|"Wet"|"148903779"|"92014482"
0|0|0|0|15|30||"148903012"|"92013754"
0|15|30|183|183|183|"Wet"|"148903012"|"92013755"
30||46|183|183|183||"148905062"|"92015482"
0|0|0|15|23|30||"148905062"|"92015483"
15|23|30|30||46|"Wet"|"148905062"|"92015484"
61||91|183|183|183||"148907428"|"92017497"
0|0|0|46|61|76||"148907428"|"92017498"
46|61|76|61||91|"Wet"|"148907428"|"92017499"
0|0|0|0|23|46||"148911686"|"92021195"
0|23|46|183|183|183|"Wet"|"148911686"|"92021196"
0|0|0|183|183|183|"Wet"|"148905520"|"92015931"
0|0|0|0|15|30||"148914099"|"92023378"
0|15|30|183|183|183|"Wet"|"148914099"|"92023379"
61||91|183|183|183||"148906740"|"92016917"
0|0|0|46|61|76||"148906740"|"92016918"
46|61|76|61||91|"Wet"|"148906740"|"92016919"
0|0|0|183|183|183|"Wet"|"148911855"|"92021304"
30||46|183|183|183||"148903783"|"92014489"
0|0|0|15|23|30||"148903783"|"92014490"
15|23|30|30||46|"Wet"|"148903783"|"92014491"
61||76|183|183|183||"148911380"|"92020900"
0|0|0|46|54|61||"148911380"|"92020901"
46|54|61|61||76|"Wet"|"148911380"|"92020902"
0|0|0|183|183|183|"Wet"|"148913088"|"92022454"
0|0|0|15|31|46||"148902195"|"92013099"
15|31|46|183|183|183|"Wet"|"148902195"|"92013100"
0|0|0|30|46|61||"148912846"|"92022226"
30|46|61|183|183|183|"Wet"|"148912846"|"92022227"
30||46|183|183|183||"148911475"|"92021012"
0|0|0|15|23|30||"148911475"|"92021013"
15|23|30|30||46|"Wet"|"148911475"|"92021014"
0|0|0|183|183|183|"Wet"|"148909349"|"92019023"
30||61|183|183|183||"148903770"|"92014459"
0|0|0|15|31|46||"148903770"|"92014460"
15|31|46|30||61|"Wet"|"148903770"|"92014461"
0|0|0|30|46|61||"148902927"|"92013646"
30|46|61|183|183|183|"Wet"|"148902927"|"92013647"
61||91|183|183|183||"148906651"|"92016798"
0|0|0|46|61|76||"148906651"|"92016799"
46|61|76|61||91|"Wet"|"148906651"|"92016800"
46||76|183|183|183||"148903092"|"92013830"
