"Sandy loam"||"80857579"|"82283547"
"Sandy loam"||"80857819"|"82283787"
"Loam"||"80855213"|"82281172"
"Fine sandy loam"||"80861462"|"82287442"
"Sand"||"80861082"|"82287059"
"Fine sandy loam"||"80861652"|"82287632"
"Fine sandy loam"||"80854928"|"82280886"
"Loam"||"80855849"|"82281809"
"Coarse sandy loam"||"80857711"|"82283679"
"Sandy loam"||"80923646"|"82350981"
"Coarse sandy loam"||"80857616"|"82283584"
|"Unweathered bedrock"|"80858993"|"82284962"
"Loam"||"80856787"|"82282750"
"Silty clay loam"||"80859878"|"82285853"
"Loam"||"80858096"|"82284065"
"Silt loam"||"80855688"|"82281648"
"Silt loam"||"80856375"|"82282336"
"Fine sandy loam"||"80855802"|"82281762"
"Sand"||"80859294"|"82285265"
"Coarse sandy loam"||"80860535"|"82286511"
"Fine sandy loam"||"80858698"|"82284667"
"Coarse sand"||"80855146"|"82281105"
"Fine sandy loam"||"80922700"|"82350027"
"Sandy loam"||"80856825"|"82282788"
"Loam"||"80856448"|"82282409"
"Silt loam"||"80858137"|"82284106"
"Loam"||"80924040"|"82351375"
"Loam"||"80856490"|"82282451"
"Sandy loam"||"80923683"|"82351018"
"Fine sandy loam"||"80859732"|"82285706"
"Sandy loam"||"80857020"|"82282984"
"Fine sandy loam"||"80859816"|"82285791"
"Sandy loam"||"80858898"|"82284867"
"Sand"||"80855025"|"82280984"
"Fine sandy loam"||"80858929"|"82284898"
"Loam"||"80861757"|"82287737"
|"Peat"|"80861921"|"82287901"
"Fine sandy loam"||"80861681"|"82287661"
"Loam"||"80860391"|"82286367"
"Fine sandy loam"||"80856965"|"82282929"
"Fine sandy loam"||"80857251"|"82283215"
"Silt loam"||"80861768"|"82287748"
"Silt loam"||"80859415"|"82285389"
"Sandy loam"||"80855815"|"82281775"
"Silt loam"||"80859659"|"82285633"
"Loam"||"80859890"|"82285865"
"Silty clay loam"||"80860270"|"82286246"
"Coarse sand"||"80857324"|"82283288"
|"Unweathered bedrock"|"80924060"|"82351395"
"Silty clay loam"||"80859320"|"82285293"
"Loam"||"80858528"|"82284497"
"Silty clay"||"80856851"|"82282814"
"Fine sandy loam"||"80860650"|"82286626"
|"Muck"|"80855875"|"82281835"
"Fine sandy loam"||"80861396"|"82287376"
"Silty clay loam"||"80860328"|"82286304"
"Sandy loam"||"80858455"|"82284424"
"Coarse sand"||"80859431"|"82285405"
"Fine sandy loam"||"80860881"|"82286858"
"Fine sandy loam"||"80860912"|"82286889"
"Coarse sand"||"80857554"|"82283522"
|"Unweathered bedrock"|"80856606"|"82282568"
"Clay"||"80859805"|"82285780"
"Fine sandy loam"||"80857918"|"82283887"
"Silty clay"||"80858658"|"82284627"
"Loamy sand"||"80860766"|"82286742"
"Sand"||"80854973"|"82280931"
"Silty clay loam"||"80861433"|"82287413"
"Loam"||"80858842"|"82284811"
"Fine sandy loam"||"80855110"|"82281069"
"Silt loam"||"80924201"|"82351536"
|"Muck"|"80861525"|"82287505"
"Coarse sand"||"80860765"|"82286741"
"Silt loam"||"80860121"|"82286096"
"Loam"||"80855949"|"82281909"
"Silt loam"||"80860132"|"82286107"
"Fine sandy loam"||"80858358"|"82284327"
"Loamy fine sand"||"80856107"|"82282067"
"Coarse sand"||"80856107"|"82282068"
|"Unweathered bedrock"|"80859383"|"82285357"
"Sandy loam"||"80859763"|"82285738"
"Loamy fine sand"||"80859648"|"82285622"
"Silt loam"||"80857240"|"82283204"
"Loamy fine sand"||"80857885"|"82283853"
"Silt loam"||"80860222"|"82286197"
